ID,Acquéreur,Ticker,Cible,Date d’annonce,Date_affichage,"CAR_[-5,+5]"
11,Citicorp,C,Travelers Group,1998-04-06,1998-04-06,0.04386602664460803
10,Exxon Corp,XOM,Mobil,1998-12-01,1998-12-01,-0.0005398066027922878
13,Pfizer Inc.,PFE,Warner-Lambert,1999-11-04,1999-11-04,-0.15644675081141207
15,Vodafone Group,VOD,Mannesmann,1999-11-14,1999-11-14,-0.09861424292988993
12,Glaxo Wellcome,GSK,SmithKline Beecham,2000-01-17,2000-01-17,-0.041397821619392615
207,Oracle,ORCL,PeopleSoft,2003-06-06,2003-06-06,-0.03469096603296749
206,Disney,DIS,Pixar Animation Studios,2006-01-24,2006-01-24,-0.0004913988614683772
210,JPMorgan Chase,JPM,Bear Stearns,2008-03-16,2008-03-16,0.16830002187815962
202,Google (Alphabet),GOOGL,Motorola Mobility,2011-08-15,2011-08-15,-0.07566360941762137
201,Facebook (Meta),META,Instagram,2012-04-09,2012-04-09,
14,Verizon Communications,VZ,Vodafone (45% Verizon Wireless),2013-09-02,2013-09-02,-0.03324528982790152
103,Meta Platforms,META,WhatsApp,2014-02-19,2014-02-19,0.03801809407774705
212,Facebook (Meta),META,Oculus VR,2014-03-25,2014-03-25,-0.1479876747033674
211,AT&T,T,DirecTV,2014-05-18,2014-05-18,-0.03548794993876843
102,Apple,AAPL,Beats Electronics,2014-05-28,2014-05-28,0.047563654674679004
108,Publicis,PUB.PA,Sapient,2014-11-03,2014-11-03,0.08478045778238824
16,Royal Dutch Shell,SHEL,BG Group,2015-04-08,2015-04-08,0.019983469641248315
110,Nokia,NOK,Alcatel-Lucent,2015-04-15,2015-04-15,0.01272965999003147
5,Anheuser-Busch InBev,BUD,SABMiller,2015-09-15,2015-09-15,0.0021064125923627892
22,Dell Technologies,DELL,EMC Corp,2015-10-12,2015-10-12,
105,Pfizer,PFE,Allergan,2015-11-23,2015-11-23,-0.032467241469576365
9,Dow Inc.,DOW,DuPont,2015-12-11,2015-12-11,
104,Microsoft,MSFT,LinkedIn,2016-06-13,2016-06-13,-0.030825555401910103
106,Danone,BN.PA,WhiteWave,2016-07-07,2016-07-07,0.04448697449872252
209,Bayer,BAYN.DE,Monsanto,2016-09-14,2016-09-14,-0.018352649811031407
6,AT&T Inc.,T,Time Warner,2016-10-22,2016-10-22,-0.08387078464770716
114,Samsung Electronics,SSNLF,Harman,2016-11-14,2016-11-14,-0.1795429511006224
109,Safran,SAF.PA,Zodiac Aerospace,2017-01-19,2017-01-19,-0.04930058767260466
101,Amazon,AMZN,Whole Foods Market,2017-06-16,2017-06-16,-0.015246139390803985
23,CVS Health Corp,CVS,Aetna,2017-12-03,2017-12-03,0.014146412066148297
18,The Walt Disney Company,DIS,21st Century Fox (assets),2017-12-14,2017-12-14,0.03978259913308175
17,Comcast Corp,CMCSA,Sky plc,2018-04-25,2018-04-25,-0.020888949180465213
111,Takeda,TAK,Shire,2018-05-08,2018-05-08,-0.016442774480357705
204,Microsoft,MSFT,GitHub,2018-06-04,2018-06-04,-0.008739432799349918
208,IBM,IBM,Red Hat,2018-10-28,2018-10-28,-0.09971574864093684
107,Dassault Systemes,DSY.PA,Medidata,2019-06-03,2019-06-03,-0.030170039267933466
8,United Technologies,UTX,Raytheon,2019-06-09,2019-06-09,
205,Salesforce,CRM,Tableau Software,2019-06-10,2019-06-10,-0.09935341572479285
113,Alphabet,GOOGL,Fitbit,2019-11-01,2019-11-01,0.004490327040848384
24,Analog Devices,ADI,Maxim Integrated,2020-07-13,2020-07-13,-0.08141721613125599
21,NVIDIA Corp*,NVDA,Arm Holdings,2020-09-13,2020-09-13,-0.10103477881792511
7,S&P Global Inc.,SPGI,IHS Markit,2020-11-30,2020-11-30,-0.04758246926578114
20,Salesforce Inc.,CRM,Slack Technologies,2020-12-01,2020-12-01,-0.18373218785430245
203,Amazon,AMZN,MGM Holdings,2021-05-26,2021-05-26,-0.03073271712684634
19,Oracle Corp,ORCL,Cerner,2021-12-20,2021-12-20,-0.1685954751260123
1,Microsoft Corp,MSFT,Activision Blizzard,2022-01-18,2022-01-18,-0.017648060037249953
25,Toronto-Dominion Bank*,TD,First Horizon,2022-02-28,2022-02-28,-0.07960399626413216
2,Broadcom Inc.,AVGO,VMware,2022-05-26,2022-05-26,-0.08448640650955647
3,Exxon Mobil Corp,XOM,Pioneer Natural Resources,2023-10-11,2023-10-11,-0.03848605108938452
4,Chevron Corp,CVX,Hess Corporation,2023-10-23,2023-10-23,-0.08400211233493354
27,Alcoa Corp,AA,Alumina Limited,2024-02-26,2024-02-26,0.001212515217055171
26,EQT Corp,EQT,Equitrans Midstream,2024-03-11,2024-03-11,-0.10086897048392876
28,AstraZeneca,AZN,Amolyt Pharma,2024-06-24,2024-06-24,-0.021356777331050323
